timestamp,raw_angle,smoothed_angle
2026-08-23T17:57:19.173,67.000,67.000
2026-08-23T17:57:19.238,61.000,61.000
2026-08-23T17:57:19.318,48.000,48.000
2026-08-23T17:57:19.389,33.000,33.000
2026-08-23T17:57:19.469,20.000,20.000
2026-08-23T17:57:19.536,11.000,11.000
2026-08-23T17:57:19.592,3.000,3.000
2026-08-23T17:57:19.641,0.000,0.000
2026-08-23T17:57:19.705,8.000,8.000
2026-08-23T17:57:19.757,24.000,24.000
2026-08-23T17:57:19.815,50.000,50.000
2026-08-23T17:57:19.878,67.000,67.000
2026-08-23T17:57:19.949,91.000,91.000
2026-08-23T17:57:20.369,81.000,81.000
2026-08-23T17:57:20.440,61.000,61.000
2026-08-23T17:57:20.508,43.000,43.000
2026-08-23T17:57:20.575,26.000,26.000
2026-08-23T17:57:20.635,17.000,17.000
2026-08-23T17:57:20.702,11.000,11.000
2026-08-23T17:57:20.758,8.000,8.000
2026-08-23T17:57:20.859,5.000,5.000
2026-08-23T17:57:20.941,12.000,12.000
2026-08-23T17:57:21.005,22.000,22.000
2026-08-23T17:57:21.065,39.000,39.000
2026-08-23T17:57:21.149,52.000,52.000
2026-08-23T17:57:21.217,58.000,58.000
2026-08-23T17:57:21.291,70.000,70.000
2026-08-23T17:57:21.372,76.000,76.000
2026-08-23T17:57:21.439,85.000,85.000
2026-08-23T17:57:21.495,90.000,90.000
2026-08-23T17:57:21.585,96.000,96.000
2026-08-23T17:57:21.644,118.000,118.000
2026-08-23T17:57:21.707,138.000,138.000
2026-08-23T17:57:21.764,157.000,157.000
2026-08-23T17:57:21.827,169.000,169.000
2026-08-23T17:57:21.893,173.000,173.000
2026-08-23T17:57:21.953,179.000,179.000
2026-08-23T17:57:22.023,163.000,163.000
2026-08-23T17:57:22.089,147.000,147.000
2026-08-23T17:57:22.160,131.000,131.000
2026-08-23T17:57:22.228,110.000,110.000
2026-08-23T17:57:22.286,87.000,87.000
2026-08-23T17:57:22.342,91.000,91.000
2026-08-23T17:57:22.413,87.000,87.000
2026-08-23T17:57:22.487,74.000,74.000
2026-08-23T17:57:22.553,57.000,57.000
2026-08-23T17:57:22.657,41.000,41.000
2026-08-23T17:57:22.709,27.000,27.000
2026-08-23T17:57:22.801,15.000,15.000
2026-08-23T17:57:22.861,6.000,6.000
2026-08-23T17:57:22.961,3.000,3.000
2026-08-23T17:57:23.039,0.000,0.000
2026-08-23T17:57:23.141,24.000,24.000
2026-08-23T17:57:23.207,48.000,48.000
2026-08-23T17:57:23.277,67.000,67.000
2026-08-23T17:57:23.349,81.000,81.000
2026-08-23T17:57:23.413,89.000,89.000
2026-08-23T17:57:23.471,92.000,92.000
2026-08-23T17:57:23.548,89.000,89.000
2026-08-23T17:57:24.059,84.000,84.000
2026-08-23T17:57:24.120,54.000,54.000
2026-08-23T17:57:24.178,28.000,28.000
2026-08-23T17:57:24.245,2.000,2.000
2026-08-23T17:57:24.741,8.000,8.000
2026-08-23T17:57:24.808,30.000,30.000
2026-08-23T17:57:24.905,58.000,58.000
2026-08-23T17:57:24.973,85.000,85.000
2026-08-23T17:57:25.037,90.000,90.000
2026-08-23T17:57:26.351,93.000,93.000
2026-08-23T17:57:26.421,129.000,129.000
2026-08-23T17:57:26.481,163.000,163.000
2026-08-23T17:57:26.567,176.000,176.000
2026-08-23T17:57:26.626,180.000,180.000
2026-08-23T17:57:26.703,177.000,177.000
2026-08-23T17:57:26.759,180.000,180.000
2026-08-23T17:57:26.822,177.000,177.000
2026-08-23T17:57:26.904,180.000,180.000
2026-08-23T17:57:27.051,158.000,158.000
2026-08-23T17:57:27.123,93.000,93.000
2026-08-23T17:57:27.194,89.000,89.000
